Id,Price
4567,150616.81876166182
5925,119689.85744968848
960,139599.62607345256
3848,125758.54206159846
746,227395.94608484846
868,339459.71392231336
672,112666.92526865147
2471,201561.57929974503
4510,107541.13693344864
8354,273595.1154068447
6393,177063.43402004256
13270,229603.23228528546
5250,333690.0323473978
16751,172934.9567266809
11404,127076.44173539797
10588,309669.3341906522
14925,180010.14894500122
6791,195678.31771912464
16097,195583.32249322973
16428,357147.19193188084
6945,349557.8422239297
3190,191195.7294280236
15709,442189.823208116
13155,155553.63094404002
7675,184467.5722050435
14686,228642.8346907936
609,157850.81790812776
11155,150413.3412865549
10869,191572.34606747932
15742,181239.46226921296
9245,191643.81217393585
3340,171749.47659561373
2359,273866.8319492798
8070,189006.61854860335
13707,118746.22869714929
16079,253455.74596282557
15937,249779.36127227012
14090,172398.51362695347
9008,213718.18578659615
16384,193559.60925229927
11657,259983.04815374778
13151,156996.1561897154
8990,157234.8985918323
11857,188059.68151558784
1565,167289.1374891825
8174,125119.11801963944
9247,238521.65516136982
10478,215020.78172848283
15509,146808.83732987213
8306,234803.0078512569
6642,187616.85279948646
7472,197681.28299018714
15989,132180.4779351203
13682,122049.25758937931
163,286752.0296836615
7076,174700.33078492616
7478,369046.32568441087
3029,190702.53700845691
1814,148021.34328586792
10057,156892.96458573302
15100,200754.199123775
12694,230160.9984863017
6291,177226.53189970687
12603,199682.94549911458
3218,246882.880652026
13456,126501.64047853569
10170,229332.97839178875
4530,154118.1557492814
13329,167052.7113309764
4820,139545.64854555053
10896,172863.3854957823
13416,116869.5918092704
2701,202968.54955911348
11265,324331.8067329476
9189,262563.32005754486
1858,177616.06956755757
14536,233279.10875173163
6199,307048.51871266036
14730,153313.11091610746
7510,260786.70628510334
15505,166722.2331490409
7446,183821.3453208334
14016,188922.32283459912
14113,106574.07031202117
8721,300782.8627489913
6193,329664.1439446615
5717,176846.7227994619
5427,292377.37576857617
9520,480234.2559209508
6869,106695.489065709
1658,158215.54232550116
6639,191832.42131909638
6283,180931.8295537347
6257,123346.1887065254
15235,172398.8090079413
902,260233.06595654986
8932,194270.82350870146
16469,435381.20306401217
2825,231136.37132172025
6450,389814.7507264111
11366,186635.05863781043
3801,361622.0763035796
11385,193393.20459556003
1079,199889.78297194614
3202,218828.18407930704
676,229783.2403676732
6185,293353.11114658794
7730,159916.43481461713
2573,183237.31525171438
10978,208120.64217368822
10962,250483.6334426689
8870,184920.6017438515
8496,194516.35536533073
5517,176971.70669308177
927,182362.52715066372
13675,194269.3395633992
1499,231673.05595589458
15536,358766.271474218
8602,361694.9694178106
12137,414558.4651792007
9865,254192.03468757484
16353,283900.54506127624
15908,227142.36775344136
3944,184079.41744317487
10359,207308.8671247094
15158,214343.25175371525
3259,268283.8536389945
7220,324114.35931595595
13843,204876.06682874452
16736,174697.54925336118
702,255461.36935438126
16401,151641.79844854743
12134,175790.69428214867
6918,214493.85245119766
11792,129413.34490492613
3798,163314.81198301222
10395,129233.5714268566
11099,146019.2248550033
7090,199126.78252482935
11260,188686.68580559618
9647,219804.8741207317
2903,379065.4652912969
2071,183050.27987236614
8604,183846.306602707
9346,205673.49090115473
3945,206299.28528775257
3420,133788.44835440704
10842,130144.24494036211
725,161730.15308560187
13931,206695.4599990563
16330,228584.13327426134
9066,357699.4955806084
3326,311403.86372238275
1556,278450.3624809618
6579,101461.72865584641
13877,144922.18144409443
9857,326115.1639698977
7302,263923.07068651804
5684,186627.27301486145
6513,230229.96191647594
11342,115670.75822278923
16561,242793.49704291616
6885,177690.21426101003
9308,184722.15450092708
2559,194193.76430130767
6648,181628.71589108498
15260,168963.86836717988
5113,185255.25775847762
16492,199300.8186568142
12034,285183.34047326125
7248,206277.62364951184
2171,215677.24716932734
10594,152311.4756620495
